,Frequency Entropy
# FP1-F7,0.565827891542599
C3-P3,0.6745352104382831
C4-P4,0.8304717124362899
CZ-PZ,1.0300799970324035
F3-C3,0.7033285715504716
F4-C4,0.7435247792612014
F7-T7,0.962567582954222
F8-T8,0.8132427139839837
FP1-F3,0.7742979920253319
FP2-F4,0.44753386448101706
FP2-F8,0.6509446708624391
FT10-T8,0.7132160236911286
FT9-FT10,0.3613948951517835
FZ-CZ,0.74905221762095
P3-O1,0.8193006453737439
P4-O2,0.8506009918476551
P7-O1,0.7479572738786561
P7-T7,0.6807103328498838
P8-O2,0.29578340230946665
T7-FT9,1.0298361777693414
T7-P7,0.6805007028994644
T8-P8-0,0.44080539071396435
T8-P8-1,0.44080539071396435
